Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
37%,17-3027.00,Mechanical Engineering Technicians,Little or no change,8700
,17-3027.01,Automotive Engineering Technicians,,
36%,11-9121.00,Natural Sciences Managers,Faster than average,20100
,11-9121.01,Clinical Research Coordinators,,
,11-9121.02,Water Resource Specialists,,
36%,19-4061.00,Social Science Research Assistants,Faster than average,12700
,19-4061.01,City and Regional Planning Aides,,
35%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,66200
35%,41-3011.00,Advertising Sales Agents,Average,45100
34%,17-2161.00,Nuclear Engineers,Average,5400
33%,15-1051.00,Computer Systems Analysts,Much faster than average,222800
,15-1051.01,Informatics Nurse Specialists,,
33%,17-2061.00,Computer Hardware Engineers,Slower than average,23500
33%,17-3012.00,Electrical and Electronics Drafters,Little or no change,7500
,17-3012.01,Electronic Drafters,,
,17-3012.02,Electrical Drafters,,
33%,19-2032.00,Materials Scientists,Average,4400
33%,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Faster than average,2600
32%,11-9041.00,Engineering Managers,Slower than average,48700
,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,
32%,17-2071.00,Electrical Engineers,Little or no change,38900
30%,13-2011.00,Accountants and Auditors,Much faster than average,497500
,13-2011.01,Accountants,,
,13-2011.02,Auditors,,
30%,19-4021.00,Biological Technicians,Faster than average,41900
30%,17-3013.00,Mechanical Drafters,Little or no change,16900
30%,19-4031.00,Chemical Technicians,Little or no change,13300
30%,17-2041.00,Chemical Engineers,Little or no change,7800
29%,13-1111.00,Management Analysts,Much faster than average,306500
29%,17-2141.00,Mechanical Engineers,Slower than average,75700
,17-2141.01,Fuel Cell Engineers,,
,17-2141.02,Automotive Engineers,,
29%,47-4011.00,Construction and Building Inspectors,Faster than average,39700
29%,19-2031.00,Chemists,Little or no change,30000
28%,19-3021.00,Market Research Analysts,Much faster than average,137300
28%,27-4021.00,Photographers,Average,48000
28%,19-2099.00,"Physical Scientists, All Other",Average,10100
,19-2099.01,Remote Sensing Scientists and Technologists,,
28%,19-1022.00,Microbiologists,Average,7500
27%,27-1024.00,Graphic Designers,Average,124800
26%,15-1071.00,Network and Computer Systems Administrators,Much faster than average,135500
,15-1071.01,Computer Security Specialists,,
26%,15-1061.00,Database Administrators,Much faster than average,44400
26%,51-9131.00,Photographic Process Workers,Slower than average,6000
26%,19-4051.00,Nuclear Technicians,Average,2800
,19-4051.01,Nuclear Equipment Operation Technicians,,
,19-4051.02,Nuclear Monitoring Technicians,,
25%,15-1041.00,Computer Support Specialists,Faster than average,234600
25%,11-3021.00,Computer and Information Systems Managers,Faster than average,97100
25%,43-4111.00,"Interviewers, Except Eligibility and Loan",Faster than average,92100
25%,17-2199.00,"Engineers, All Other",Average,50200
,17-2199.01,Biochemical Engineers,,
,17-2199.02,Validation Engineers,,
,17-2199.03,Energy Engineers,,
,17-2199.04,Manufacturing Engineers,,
,17-2199.05,Mechatronics Engineers,,
,17-2199.06,Microsystems Engineers,,
,17-2199.07,Photonics Engineers,,
,17-2199.08,Robotics Engineers,,
,17-2199.09,Nanosystems Engineers,,
,17-2199.10,Wind Energy Engineers,,
,17-2199.11,Solar Energy Systems Engineers,,
25%,41-9011.00,Demonstrators and Product Promoters,Average,36900
25%,17-2011.00,Aerospace Engineers,Average,22300
25%,15-2099.00,"Mathematical Science Occupations, All Other",Faster than average,3100
24%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,36400
,19-4099.01,Quality Control Analysts,,
,19-4099.02,Precision Agriculture Technicians,,
,19-4099.03,Remote Sensing Technicians,,
24%,19-4041.00,Geological and Petroleum Technicians,Little or no change,5500
,19-4041.01,Geophysical Data Technicians,,
,19-4041.02,Geological Sample Test Technicians,,
23%,41-9031.00,Sales Engineers,Average,35000
23%,15-2031.00,Operations Research Analysts,Much faster than average,32200
23%,19-1013.00,Soil and Plant Scientists,Faster than average,7000
23%,19-3011.00,Economists,Slower than average,5000
,19-3011.01,Environmental Economists,,
23%,19-1099.00,"Life Scientists, All Other",Faster than average,4800
23%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Faster than average,3200
22%,15-1081.00,Network Systems and Data Communications Analysts,Much faster than average,208300
,15-1081.01,Telecommunications Specialists,,
22%,17-2031.00,Biomedical Engineers,Much faster than average,14900
22%,17-2021.00,Agricultural Engineers,Average,900
22%,19-2011.00,Astronomers,Faster than average,700
21%,27-3031.00,Public Relations Specialists,Much faster than average,131300
21%,11-2011.00,Advertising and Promotions Managers,Little or no change,10500
,11-2011.01,Green Marketers,,
21%,15-2041.00,Statisticians,Average,9600
,15-2041.01,Biostatisticians,,
,15-2041.02,Clinical Data Managers,,
21%,19-3093.00,Historians,Average,2500
21%,17-3021.00,Aerospace Engineering and Operations Technicians,Little or no change,1800
20%,27-1021.00,Commercial and Industrial Designers,Average,17600
20%,19-3051.00,Urban and Regional Planners,Faster than average,14700
19%,27-1011.00,Art Directors,Average,28700
19%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline rapidly,25600
19%,19-3099.00,"Social Scientists and Related Workers, All Other",Much faster than average,23800
,19-3099.01,Transportation Planners,,
19%,17-3029.00,"Engineering Technicians, Except Drafters, All Other",Slower than average,18500
,17-3029.01,Non-Destructive Testing Specialists,,
,17-3029.02,Electrical Engineering Technologists,,
,17-3029.03,Electromechanical Engineering Technologists,,
,17-3029.04,Electronics Engineering Technologists,,
,17-3029.05,Industrial Engineering Technologists,,
,17-3029.06,Manufacturing Engineering Technologists,,
,17-3029.07,Mechanical Engineering Technologists,,
,17-3029.08,Photonics Technicians,,
,17-3029.09,Manufacturing Production Technicians,,
,17-3029.10,Fuel Cell Technicians,,
,17-3029.11,Nanotechnology Engineering Technologists,,
,17-3029.12,Nanotechnology Engineering Technicians,,
19%,19-1023.00,Zoologists and Wildlife Biologists,Average,8800
19%,27-1029.00,"Designers, All Other",Average,6100
19%,15-2091.00,Mathematical Technicians,Average,500
18%,11-2021.00,Marketing Managers,Average,59700
18%,17-2072.00,"Electronics Engineers, Except Computer",Little or no change,33400
,17-2072.01,Radio Frequency Identification Device Specialists,,
18%,19-3092.00,Geographers,Much faster than average,1000
17%,27-3091.00,Interpreters and Translators,Much faster than average,23400
16%,41-3099.00,"Sales Representatives, Services, All Other",Faster than average,228100
,41-3099.01,Energy Brokers,,
16%,15-1099.00,"Computer Specialists, All Other",Average,72600
,15-1099.01,Software Quality Assurance Engineers and Testers,,
,15-1099.02,Computer Systems Engineers/Architects,,
,15-1099.03,Network Designers,,
,15-1099.04,Web Developers,,
,15-1099.05,Web Administrators,,
,15-1099.06,Geospatial Information Scientists and Technologists,,
,15-1099.07,Geographic Information Systems Technicians,,
,15-1099.08,Database Architects,,
,15-1099.09,Data Warehousing Specialists,,
,15-1099.10,Business Intelligence Analysts,,
,15-1099.11,Information Technology Project Managers,,
,15-1099.12,Electronic Commerce Specialists,,
,15-1099.13,Video Game Designers,,
,15-1099.14,Document Management Specialists,,
16%,43-3051.00,Payroll and Timekeeping Clerks,Decline slowly or moderately,49500
16%,17-3023.00,Electrical and Electronic Engineering Technicians,Little or no change,31000
,17-3023.01,Electronics Engineering Technicians,,
,17-3023.03,Electrical Engineering Technicians,,
16%,15-2011.00,Actuaries,Much faster than average,10000
16%,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Average,9200
,17-2111.01,Industrial Safety and Health Engineers,,
,17-2111.02,Fire-Prevention and Protection Engineers,,
,17-2111.03,Product Safety Engineers,,
16%,17-2171.00,Petroleum Engineers,Faster than average,8600
16%,17-2131.00,Materials Engineers,Average,8100
15%,13-1071.00,"Employment, Recruitment, and Placement Specialists",Much faster than average,112300
,13-1071.01,Employment Interviewers,,
,13-1071.02,Personnel Recruiters,,
15%,39-2021.00,Nonfarm Animal Caretakers,Much faster than average,73600
15%,43-4071.00,File Clerks,Decline rapidly,51600
15%,13-1081.00,Logisticians,Much faster than average,41900
,13-1081.01,Logistics Engineers,,
,13-1081.02,Logistics Analysts,,
15%,47-2142.00,Paperhangers,Decline rapidly,100
14%,17-2112.00,Industrial Engineers,Faster than average,85400
,17-2112.01,Human Factors Engineers and Ergonomists,,
14%,43-9021.00,Data Entry Keyers,Decline slowly or moderately,59200
14%,11-2031.00,Public Relations Managers,Average,20600
14%,23-2099.00,"Legal Support Workers, All Other",Average,12400
14%,19-4011.00,Agricultural and Food Science Technicians,Average,9600
,19-4011.01,Agricultural Technicians,,
,19-4011.02,Food Science Technicians,,
14%,19-1012.00,Food Scientists and Technologists,Faster than average,6900
14%,43-9111.00,Statistical Assistants,Slower than average,3900
,43-9111.01,Bioinformatics Technicians,,
14%,43-9081.00,Proofreaders and Copy Markers,Decline slowly or moderately,3000
13%,27-1014.00,Multi-Media Artists and Animators,Faster than average,28900
13%,19-1029.00,"Biological Scientists, All Other",Faster than average,16100
,19-1029.01,Bioinformatics Scientists,,
,19-1029.02,Molecular and Cellular Biologists,,
,19-1029.03,Geneticists,,
13%,43-9011.00,Computer Operators,Decline rapidly,12400
13%,29-9012.00,Occupational Health and Safety Technicians,Faster than average,5200
12%,43-6011.00,Executive Secretaries and Administrative Assistants,Average,419200
12%,43-3021.00,Billing and Posting Clerks and Machine Operators,Faster than average,167600
,43-3021.01,Statement Clerks,,
,43-3021.02,"Billing, Cost, and Rate Clerks",,
,43-3021.03,"Billing, Posting, and Calculating Machine Operators",,
12%,13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",Much faster than average,60500
12%,43-5021.00,Couriers and Messengers,Little or no change,28100
12%,17-3024.00,Electro-Mechanical Technicians,Decline slowly or moderately,3100
,17-3024.01,Robotics Technicians,,
12%,19-3094.00,Political Scientists,Faster than average,2800
11%,43-4171.00,Receptionists and Information Clerks,Faster than average,480200
11%,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",Average,460400
11%,13-2051.00,Financial Analysts,Much faster than average,95200
11%,11-3041.00,Compensation and Benefits Managers,Average,12100
11%,27-1027.00,Set and Exhibit Designers,Faster than average,5100
11%,19-1041.00,Epidemiologists,Faster than average,1700
10%,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Average,142300
,41-4011.07,Solar Sales Representatives and Assessors,,
10%,13-1073.00,Training and Development Specialists,Much faster than average,107100
10%,29-9011.00,Occupational Health and Safety Specialists,Average,24900
10%,13-2031.00,Budget Analysts,Faster than average,22300
10%,27-2011.00,Actors,Average,20800
10%,11-3049.00,"Human Resources Managers, All Other",Average,19300
10%,27-3099.00,"Media and Communication Workers, All Other",Average,11700
10%,19-1011.00,Animal Scientists,Average,1800
10%,51-7031.00,"Model Makers, Wood",Little or no change,400
