Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
63%,47-2211.00,Sheet Metal Workers,Slower than average,51700
63%,47-2022.00,Stonemasons,Average,9000
62%,47-2061.00,Construction Laborers,Much faster than average,339400
59%,13-1051.00,Cost Estimators,Much faster than average,103600
58%,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Much faster than average,136200
,49-9021.01,Heating and Air Conditioning Mechanics and Installers,,
,49-9021.02,Refrigeration Mechanics and Installers,,
58%,47-2043.00,Floor Sanders and Finishers,Average,4600
56%,47-2031.00,Carpenters,Average,325400
,47-2031.01,Construction Carpenters,,
,47-2031.02,Rough Carpenters,,
56%,47-2044.00,Tile and Marble Setters,Faster than average,30700
51%,47-2011.00,Boilermakers,Faster than average,8100
51%,47-5021.00,"Earth Drillers, Except Oil and Gas",Average,5700
48%,53-7032.00,Excavating and Loading Machine and Dragline Operators,Average,28500
46%,49-9044.00,Millwrights,Little or no change,9800
45%,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Little or no change,5500
44%,47-2141.00,"Painters, Construction and Maintenance",Average,106500
40%,47-2041.00,Carpet Installers,Little or no change,13300
38%,47-4099.00,"Construction and Related Workers, All Other",Average,26600
,47-4099.01,Solar Photovoltaic Installers,,
,47-4099.02,Solar Thermal Installers and Technicians,,
,47-4099.03,Weatherization Installers and Technicians,,
34%,53-7021.00,Crane and Tower Operators,Decline slowly or moderately,10200
33%,49-9051.00,Electrical Power-Line Installers and Repairers,Slower than average,45500
32%,11-9021.00,Construction Managers,Faster than average,137700
31%,49-2098.00,Security and Fire Alarm Systems Installers,Much faster than average,27800
27%,49-9052.00,Telecommunications Line Installers and Repairers,Little or no change,27900
24%,53-7031.00,Dredge Operators,Average,800
21%,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Average,85000
21%,49-9096.00,Riggers,Little or no change,2100
19%,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Average,9200
,17-2111.01,Industrial Safety and Health Engineers,,
,17-2111.02,Fire-Prevention and Protection Engineers,,
,17-2111.03,Product Safety Engineers,,
19%,47-5081.00,Helpers--Extraction Workers,Decline rapidly,4500
18%,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",Average,37700
18%,17-3012.00,Electrical and Electronics Drafters,Little or no change,7500
,17-3012.01,Electronic Drafters,,
,17-3012.02,Electrical Drafters,,
17%,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Decline slowly or moderately,400
16%,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,Much faster than average,13200
16%,49-9092.00,Commercial Divers,Slower than average,500
12%,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Slower than average,1300
11%,51-4121.00,"Welders, Cutters, Solderers, and Brazers",Little or no change,126300
,51-4121.06,"Welders, Cutters, and Welder Fitters",,
,51-4121.07,Solderers and Brazers,,
11%,17-2051.00,Civil Engineers,Much faster than average,114600
,17-2051.01,Transportation Engineers,,
,17-2051.02,Water/Wastewater Engineers,,
11%,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",Average,41800
,49-9099.01,Geothermal Technicians,,
,49-9099.02,Wind Turbine Service Technicians,,
11%,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Little or no change,35600
11%,49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,Average,14300
10%,51-2041.00,Structural Metal Fabricators and Fitters,Little or no change,24000
10%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Slower than average,16400
10%,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Faster than average,6500
