Employed by this Industry,Code,Occupation,Projected Growth (2008-2018),Projected Job Openings (2008-2018)
74%,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Slower than average,25200
,51-9195.03,"Stone Cutters and Carvers, Manufacturing",,
,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",,
,51-9195.05,"Potters, Manufacturing",,
,51-9195.07,Molding and Casting Workers,,
73%,51-2092.00,Team Assemblers,Little or no change,250900
73%,17-3026.00,Industrial Engineering Technicians,Average,18500
73%,51-4194.00,"Tool Grinders, Filers, and Sharpeners",Decline slowly or moderately,5800
71%,51-5023.00,Printing Machine Operators,Decline slowly or moderately,41000
71%,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Decline slowly or moderately,400
70%,51-1011.00,First-Line Supervisors/Managers of Production and Operating Workers,Decline slowly or moderately,91900
70%,17-2112.00,Industrial Engineers,Faster than average,85400
,17-2112.01,Human Factors Engineers and Ergonomists,,
70%,53-7063.00,Machine Feeders and Offbearers,Decline rapidly,15900
70%,51-6092.00,Fabric and Apparel Patternmakers,Decline rapidly,900
69%,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",Decline slowly or moderately,77900
69%,51-9111.00,Packaging and Filling Machine Operators and Tenders,Little or no change,58500
69%,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Little or no change,7000
68%,51-3093.00,Food Cooking Machine Operators and Tenders,Slower than average,12800
66%,51-5022.00,Prepress Technicians and Workers,Decline rapidly,7700
65%,51-9198.00,Helpers--Production Workers,Little or no change,84600
64%,51-2099.00,"Assemblers and Fabricators, All Other",Little or no change,75800
64%,51-9082.00,Medical Appliance Technicians,Average,4200
64%,17-3021.00,Aerospace Engineering and Operations Technicians,Little or no change,1800
62%,51-4121.00,"Welders, Cutters, Solderers, and Brazers",Little or no change,126300
,51-4121.06,"Welders, Cutters, and Welder Fitters",,
,51-4121.07,Solderers and Brazers,,
61%,17-2131.00,Materials Engineers,Average,8100
60%,51-5021.00,Job Printers,Decline slowly or moderately,1700
59%,49-9041.00,Industrial Machinery Mechanics,Average,62400
59%,17-3024.00,Electro-Mechanical Technicians,Decline slowly or moderately,3100
,17-3024.01,Robotics Technicians,,
56%,51-9199.00,"Production Workers, All Other",Little or no change,70900
,51-9199.01,Recycling and Reclamation Workers,,
54%,17-2011.00,Aerospace Engineers,Average,22300
54%,17-3013.00,Mechanical Drafters,Little or no change,16900
52%,19-4031.00,Chemical Technicians,Little or no change,13300
52%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline rapidly,10800
51%,17-2141.00,Mechanical Engineers,Slower than average,75700
,17-2141.01,Fuel Cell Engineers,,
,17-2141.02,Automotive Engineers,,
51%,17-2041.00,Chemical Engineers,Little or no change,7800
51%,51-7021.00,Furniture Finishers,Slower than average,7200
51%,49-9093.00,"Fabric Menders, Except Garment",Decline rapidly,200
50%,51-9194.00,Etchers and Engravers,Little or no change,700
48%,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",Decline rapidly,2500
48%,51-6041.00,Shoe and Leather Workers and Repairers,Decline rapidly,1100
47%,49-9043.00,"Maintenance Workers, Machinery",Slower than average,15100
47%,17-2031.00,Biomedical Engineers,Much faster than average,14900
46%,17-3027.00,Mechanical Engineering Technicians,Little or no change,8700
,17-3027.01,Automotive Engineering Technicians,,
45%,45-4023.00,Log Graders and Scalers,Little or no change,1500
43%,17-2061.00,Computer Hardware Engineers,Slower than average,23500
43%,51-9123.00,"Painting, Coating, and Decorating Workers",Average,11900
43%,49-9044.00,Millwrights,Little or no change,9800
43%,19-1012.00,Food Scientists and Technologists,Faster than average,6900
43%,51-6093.00,Upholsterers,Average,6900
42%,19-2031.00,Chemists,Little or no change,30000
42%,19-2032.00,Materials Scientists,Average,4400
41%,11-9041.00,Engineering Managers,Slower than average,48700
,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,,
41%,49-2091.00,Avionics Technicians,Average,5200
40%,17-2021.00,Agricultural Engineers,Average,900
39%,43-5061.00,"Production, Planning, and Expediting Clerks",Little or no change,74100
39%,51-9083.00,Ophthalmic Laboratory Technicians,Faster than average,12000
37%,17-2071.00,Electrical Engineers,Little or no change,38900
36%,53-7051.00,Industrial Truck and Tractor Operators,Slower than average,198600
35%,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Faster than average,118600
35%,17-3023.00,Electrical and Electronic Engineering Technicians,Little or no change,31000
,17-3023.01,Electronics Engineering Technicians,,
,17-3023.03,Electrical Engineering Technicians,,
35%,11-3061.00,Purchasing Managers,Little or no change,21100
35%,29-2091.00,Orthotists and Prosthetists,Faster than average,2100
34%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Slower than average,16400
34%,19-1021.00,Biochemists and Biophysicists,Much faster than average,16200
33%,51-3011.00,Bakers,Little or no change,39200
33%,53-7011.00,Conveyor Operators and Tenders,Decline slowly or moderately,11900
32%,17-2199.00,"Engineers, All Other",Average,50200
,17-2199.01,Biochemical Engineers,,
,17-2199.02,Validation Engineers,,
,17-2199.03,Energy Engineers,,
,17-2199.04,Manufacturing Engineers,,
,17-2199.05,Mechatronics Engineers,,
,17-2199.06,Microsystems Engineers,,
,17-2199.07,Photonics Engineers,,
,17-2199.08,Robotics Engineers,,
,17-2199.09,Nanosystems Engineers,,
,17-2199.10,Wind Energy Engineers,,
,17-2199.11,Solar Energy Systems Engineers,,
32%,17-2072.00,"Electronics Engineers, Except Computer",Little or no change,33400
,17-2072.01,Radio Frequency Identification Device Specialists,,
32%,53-7021.00,Crane and Tower Operators,Decline slowly or moderately,10200
32%,51-7099.00,"Woodworkers, All Other",Slower than average,6000
32%,53-7041.00,Hoist and Winch Operators,Decline slowly or moderately,800
30%,27-1021.00,Commercial and Industrial Designers,Average,17600
29%,51-8099.00,"Plant and System Operators, All Other",Decline slowly or moderately,2900
,51-8099.01,Biofuels Processing Technicians,,
,51-8099.02,Methane/Landfill Gas Generation System Technicians,,
,51-8099.03,Biomass Plant Technicians,,
,51-8099.04,Hydroelectric Plant Technicians,,
28%,17-3029.00,"Engineering Technicians, Except Drafters, All Other",Slower than average,18500
,17-3029.01,Non-Destructive Testing Specialists,,
,17-3029.02,Electrical Engineering Technologists,,
,17-3029.03,Electromechanical Engineering Technologists,,
,17-3029.04,Electronics Engineering Technologists,,
,17-3029.05,Industrial Engineering Technologists,,
,17-3029.06,Manufacturing Engineering Technologists,,
,17-3029.07,Mechanical Engineering Technologists,,
,17-3029.08,Photonics Technicians,,
,17-3029.09,Manufacturing Production Technicians,,
,17-3029.10,Fuel Cell Technicians,,
,17-3029.11,Nanotechnology Engineering Technologists,,
,17-3029.12,Nanotechnology Engineering Technicians,,
28%,51-9122.00,"Painters, Transportation Equipment",Little or no change,14100
27%,53-7064.00,"Packers and Packagers, Hand",Decline slowly or moderately,126100
27%,19-4011.00,Agricultural and Food Science Technicians,Average,9600
,19-4011.01,Agricultural Technicians,,
,19-4011.02,Food Science Technicians,,
27%,17-3012.00,Electrical and Electronics Drafters,Little or no change,7500
,17-3012.01,Electronic Drafters,,
,17-3012.02,Electrical Drafters,,
27%,45-2041.00,"Graders and Sorters, Agricultural Products",Little or no change,6900
26%,43-5071.00,"Shipping, Receiving, and Traffic Clerks",Decline slowly or moderately,186200
26%,17-3019.00,"Drafters, All Other",Little or no change,5100
24%,13-1081.00,Logisticians,Much faster than average,41900
,13-1081.01,Logistics Engineers,,
,13-1081.02,Logistics Analysts,,
24%,41-9031.00,Sales Engineers,Average,35000
24%,51-6051.00,"Sewers, Hand",Decline slowly or moderately,1300
23%,47-2211.00,Sheet Metal Workers,Slower than average,51700
23%,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Average,9200
,17-2111.01,Industrial Safety and Health Engineers,,
,17-2111.02,Fire-Prevention and Protection Engineers,,
,17-2111.03,Product Safety Engineers,,
23%,43-9031.00,Desktop Publishers,Decline rapidly,4400
22%,19-1022.00,Microbiologists,Average,7500
21%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Decline rapidly,25100
21%,47-2011.00,Boilermakers,Faster than average,8100
20%,49-3011.00,Aircraft Mechanics and Service Technicians,Slower than average,31400
20%,27-3042.00,Technical Writers,Faster than average,16800
20%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,9200
18%,49-9042.00,"Maintenance and Repair Workers, General",Average,357500
18%,15-1032.00,"Computer Software Engineers, Systems Software",Much faster than average,153400
17%,53-7121.00,"Tank Car, Truck, and Ship Loaders",Decline slowly or moderately,3500
17%,53-7072.00,"Pump Operators, Except Wellhead Pumpers",Decline rapidly,2800
16%,43-3061.00,Procurement Clerks,Slower than average,29700
16%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Little or no change,5000
15%,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Average,457900
15%,13-1051.00,Cost Estimators,Much faster than average,103600
15%,11-2021.00,Marketing Managers,Average,59700
15%,53-1021.00,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",Slower than average,38500
,53-1021.01,Recycling Coordinators,,
15%,11-9121.00,Natural Sciences Managers,Faster than average,20100
,11-9121.01,Clinical Research Coordinators,,
,11-9121.02,Water Resource Specialists,,
15%,51-9071.00,Jewelers and Precious Stone and Metal Workers,Slower than average,13500
,51-9071.01,Jewelers,,
,51-9071.06,Gem and Diamond Workers,,
,51-9071.07,Precious Metal Workers,,
15%,11-3041.00,Compensation and Benefits Managers,Average,12100
15%,13-1021.00,"Purchasing Agents and Buyers, Farm Products",Little or no change,3100
14%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Little or no change,745800
14%,43-4151.00,Order Clerks,Decline rapidly,69600
14%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,66200
14%,27-1022.00,Fashion Designers,Little or no change,7200
14%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Slower than average,3400
13%,49-1011.00,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",Slower than average,136500
13%,11-2022.00,Sales Managers,Faster than average,126600
13%,27-1024.00,Graphic Designers,Average,124800
13%,29-9011.00,Occupational Health and Safety Specialists,Average,24900
13%,11-3049.00,"Human Resources Managers, All Other",Average,19300
13%,29-9012.00,Occupational Health and Safety Technicians,Faster than average,5200
13%,49-9096.00,Riggers,Little or no change,2100
12%,11-3071.00,"Transportation, Storage, and Distribution Managers",Decline slowly or moderately,27400
,11-3071.01,Transportation Managers,,
,11-3071.02,Storage and Distribution Managers,,
12%,27-1012.00,Craft Artists,Average,4000
12%,51-6021.00,"Pressers, Textile, Garment, and Related Materials",Decline slowly or moderately,2900
11%,11-1021.00,General and Operations Managers,Little or no change,502200
11%,15-1031.00,"Computer Software Engineers, Applications",Much faster than average,218400
11%,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Average,142300
,41-4011.07,Solar Sales Representatives and Assessors,,
11%,13-1072.00,"Compensation, Benefits, and Job Analysis Specialists",Much faster than average,60500
11%,43-3051.00,Payroll and Timekeeping Clerks,Decline slowly or moderately,49500
11%,51-3021.00,Butchers and Meat Cutters,Little or no change,43300
11%,13-2031.00,Budget Analysts,Faster than average,22300
11%,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Little or no change,5800
11%,19-4041.00,Geological and Petroleum Technicians,Little or no change,5500
,19-4041.01,Geophysical Data Technicians,,
,19-4041.02,Geological Sample Test Technicians,,
11%,51-8092.00,Gas Plant Operators,Decline slowly or moderately,3400
11%,19-1032.00,Foresters,Average,2600
11%,17-2121.00,Marine Engineers and Naval Architects,Slower than average,2300
,17-2121.01,Marine Engineers,,
,17-2121.02,Marine Architects,,
11%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline rapidly,1200
11%,47-5051.00,"Rock Splitters, Quarry",Little or no change,800
10%,11-1011.00,Chief Executives,Little or no change,112500
,11-1011.03,Chief Sustainability Officers,,
10%,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",Decline slowly or moderately,48100
10%,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",Average,41800
,49-9099.01,Geothermal Technicians,,
,49-9099.02,Wind Turbine Service Technicians,,
10%,53-1031.00,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,Decline slowly or moderately,37700
10%,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Slower than average,9400
10%,17-2171.00,Petroleum Engineers,Faster than average,8600
10%,43-9081.00,Proofreaders and Copy Markers,Decline slowly or moderately,3000
10%,47-2053.00,Terrazzo Workers and Finishers,Average,2100
